,lemmatized_cbow_win2_dim100,lemmatized_skipgram_win2_dim100,lemmatized_cbow_win4_dim100,lemmatized_skipgram_win4_dim100,lemmatized_cbow_win2_dim300,lemmatized_skipgram_win2_dim300,lemmatized_cbow_win4_dim300,lemmatized_skipgram_win4_dim300,stemmed_cbow_win2_dim100,stemmed_skipgram_win2_dim100,stemmed_cbow_win4_dim100,stemmed_skipgram_win4_dim100,stemmed_cbow_win2_dim300,stemmed_skipgram_win2_dim300,stemmed_cbow_win4_dim300,stemmed_skipgram_win4_dim300
lemmatized_cbow_win2_dim100,1.0,0.429,0.667,0.25,0.667,0.429,0.667,0.25,0.667,0.25,0.429,0.429,0.667,0.429,0.429,0.429
lemmatized_skipgram_win2_dim100,0.429,1.0,0.429,0.429,0.429,0.667,0.429,0.429,0.429,0.25,0.25,0.25,0.429,0.429,0.25,0.429
lemmatized_cbow_win4_dim100,0.667,0.429,1.0,0.429,0.667,0.429,0.667,0.25,0.667,0.429,0.667,0.429,0.667,0.429,0.667,0.429
lemmatized_skipgram_win4_dim100,0.25,0.429,0.429,1.0,0.25,0.667,0.25,0.667,0.25,0.429,0.429,0.429,0.25,0.667,0.429,0.667
lemmatized_cbow_win2_dim300,0.667,0.429,0.667,0.25,1.0,0.429,0.667,0.25,1.0,0.429,0.667,0.25,0.667,0.25,0.429,0.25
lemmatized_skipgram_win2_dim300,0.429,0.667,0.429,0.667,0.429,1.0,0.429,0.667,0.429,0.25,0.25,0.25,0.429,0.429,0.25,0.429
lemmatized_cbow_win4_dim300,0.667,0.429,0.667,0.25,0.667,0.429,1.0,0.25,0.667,0.25,0.429,0.25,1.0,0.25,0.667,0.25
lemmatized_skipgram_win4_dim300,0.25,0.429,0.25,0.667,0.25,0.667,0.25,1.0,0.25,0.25,0.25,0.429,0.25,0.429,0.25,0.429
stemmed_cbow_win2_dim100,0.667,0.429,0.667,0.25,1.0,0.429,0.667,0.25,1.0,0.429,0.667,0.25,0.667,0.25,0.429,0.25
stemmed_skipgram_win2_dim100,0.25,0.25,0.429,0.429,0.429,0.25,0.25,0.25,0.429,1.0,0.667,0.429,0.25,0.429,0.429,0.429
stemmed_cbow_win4_dim100,0.429,0.25,0.667,0.429,0.667,0.25,0.429,0.25,0.667,0.667,1.0,0.429,0.429,0.429,0.667,0.429
stemmed_skipgram_win4_dim100,0.429,0.25,0.429,0.429,0.25,0.25,0.25,0.429,0.25,0.429,0.429,1.0,0.25,0.667,0.429,0.667
stemmed_cbow_win2_dim300,0.667,0.429,0.667,0.25,0.667,0.429,1.0,0.25,0.667,0.25,0.429,0.25,1.0,0.25,0.667,0.25
stemmed_skipgram_win2_dim300,0.429,0.429,0.429,0.667,0.25,0.429,0.25,0.429,0.25,0.429,0.429,0.667,0.25,1.0,0.429,1.0
stemmed_cbow_win4_dim300,0.429,0.25,0.667,0.429,0.429,0.25,0.667,0.25,0.429,0.429,0.667,0.429,0.667,0.429,1.0,0.429
stemmed_skipgram_win4_dim300,0.429,0.429,0.429,0.667,0.25,0.429,0.25,0.429,0.25,0.429,0.429,0.667,0.25,1.0,0.429,1.0
